Folder Name,Total Matching Samples,Unique Classes in Actual Data,Unique Classes in Predicted Data,Overall Accuracy,Kappa Coefficient,Accuracy for Class 1,Accuracy for Class 2,Accuracy for Class 3
_B4__minus__B3___slash___B4__plus__B3_,500,"[1, 2, 3]","[1, 2, 3]",93.40%,0.689,55.17%,76.92%,99.07%
_B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",93.80%,0.782,87.93%,100.00%,94.41%
_B1__plus__B2___plus___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",93.80%,0.782,87.93%,100.00%,94.41%
_B1__plus__B2___plus___B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",94.20%,0.781,81.03%,84.62%,96.27%
_B1__plus__B2___plus___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.40%,0.797,87.93%,92.31%,95.34%
_B1__plus__B2___plus___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",93.80%,0.782,87.93%,100.00%,94.41%
_B1__plus__B2___minus___B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",94.00%,0.792,91.38%,100.00%,94.17%
_B1__plus__B2___minus___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.40%,0.797,86.21%,100.00%,95.34%
_B1__plus__B2___minus___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",93.80%,0.782,87.93%,100.00%,94.41%
_B1__plus__B2___times___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",93.80%,0.782,87.93%,100.00%,94.41%
_B1__plus__B2___times___B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",87.00%,0.504,22.41%,92.31%,95.57%
_B1__plus__B2___times___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.00%,0.786,86.21%,100.00%,94.87%
_B1__plus__B2___times___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",93.60%,0.748,68.97%,84.62%,97.20%
_B1__plus__B2___slash___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",91.80%,0.721,84.48%,100.00%,92.54%
_B1__plus__B2___slash___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.00%,0.789,91.38%,92.31%,94.41%
_B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",87.60%,0.467,20.69%,84.62%,96.74%
_B1__minus__B2___plus___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",94.20%,0.781,81.03%,84.62%,96.27%
_B1__minus__B2___plus___B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",87.60%,0.467,20.69%,84.62%,96.74%
_B1__minus__B2___plus___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.40%,0.797,87.93%,92.31%,95.34%
_B1__minus__B2___plus___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",87.60%,0.463,20.69%,84.62%,96.74%
_B1__minus__B2___minus___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",93.40%,0.776,93.10%,100.00%,93.24%
_B1__minus__B2___minus___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",94.40%,0.797,86.21%,100.00%,95.34%
_B1__minus__B2___minus___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",87.40%,0.469,20.69%,84.62%,96.50%
_B1__minus__B2___times___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",87.00%,0.504,22.41%,92.31%,95.57%
_B1__minus__B2___times___B1__minus__B2_,500,"[1, 2, 3]","[1, 2, 3]",87.00%,0.453,20.69%,84.62%,96.04%
_B1__minus__B2___times___B1___times___B2_,500,"[1, 2, 3]","[1, 2, 3]",86.80%,0.517,24.14%,92.31%,95.10%
_B1__minus__B2___times___B1___slash___B2_,500,"[1, 2, 3]","[1, 2, 3]",88.20%,0.488,24.14%,84.62%,96.97%
_B1__minus__B2___slash___B1__plus__B2_,500,"[1, 2, 3]","[1, 2, 3]",84.20%,0.383,22.41%,53.85%,93.47%
